,land_txn_date,proj_name,land_txn_price,openning_date,openning_price
0,2020-03-01,Parc Greenwich,555,2021-09-01,1227
1,2020-01-01,Irwell Hill Residences,1515,2021-04-01,2672
2,2020-01-01,Bartley Vue,885,2021-09-01,1902
3,2019-09-01,One-North Eden,1002,2021-04-01,1966
4,2019-09-01,Midtown Modern,1535,2021-03-01,2726
5,2019-10-01,Provence Residence,566,2021-05-01,1169
6,2019-07-01,Clavon,788,2020-12-01,1637
7,2019-04-01,The M,1458,2020-02-01,2484
8,2019-04-01,Penrose,732,2020-09-01,1604
9,2018-09-01,Ola,576,2020-03-01,1152
10,2018-09-01,Verdale,1002,2020-09-01,1765
11,2018-09-01,Dairy Farm Residences,830,2019-11-01,1606
12,2018-09-01,Parc Canberra,558,2020-02-01,1100
13,2018-06-01,Verticus,1111,2020-02-01,2022
14,2018-05-01,Neu at Novena,1472,2019-10-01,2607
15,2018-05-01,The Hyde,1415,2019-05-01,2952
16,2018-05-01,The Landmark,1406,2020-11-01,2162
17,2018-05-01,Peak Residence,1558,2021-04-01,2527
18,2018-04-01,Avenue South Residence,1138,2019-09-01,2056
19,2018-05-01,The Antares,1109,2019-09-01,1782
20,2018-05-01,Cuscaden Reserve,2377,2019-09-01,3604
21,2018-04-01,15 Holland Hill,1712,2020-04-01,2995
22,2018-04-01,Sky Everton,1565,2019-06-01,2598
23,2018-04-01,Leedon Green,1790,2020-01-01,2672
24,2018-04-01,Hyll on Holland,1504,2020-10-01,2446
25,2018-03-01,The Avenir,1806,2020-01-01,3185
26,2018-03-01,Jervois Treasures,1683,2020-02-01,2389
27,2018-03-01,Urban Treasures,1118,2019-11-01,1958
28,2018-03-01,The Atelier,1626,2021-03-01,2751
29,2018-03-01,Hyll on Holland,1703,2020-10-01,2446
30,2018-03-01,Piermont Grand,583,2019-07-01,1110
31,2018-02-01,Whistler Grand,800,2018-11-01,1412
32,2018-02-01,Haus on Handy,1722,2019-07-01,2813
33,2018-01-01,View at Kismis,855,2019-07-01,1703
34,2017-12-01,Fyve Derbyshire,1390,2019-01-01,2320
35,2018-03-01,Rezi 24,818,2019-03-01,1579
36,2017-12-01,Royalgreen,1960,2019-10-01,2730
37,2017-11-01,The Hyde,1527,2019-05-01,2952
38,2017-11-01,The Lilium,1092,2019-06-01,2032
39,2017-11-01,35 Gilstead,1638,2019-03-01,2517
40,2017-10-01,Amber Park,1515,2019-05-01,2468
41,2017-10-01,Normanton Park,969,2021-01-01,1785
42,2017-09-01,Nyon,1222,2019-03-01,2256
43,2017-09-01,The Gazania,1325,2019-05-01,2042
44,2017-10-01,Arena Residences,781,2018-11-01,1801
45,2017-08-01,Sloane Residences,1616,2019-06-01,2890
46,2018-01-01,Parc Clematis,850,2019-08-01,1623
47,2017-08-01,Treasure at Tampines,676,2019-03-01,1356
48,2017-08-01,Parkwood Residences,424,2020-11-01,1434
49,2017-08-01,The Garden Residences,965,2018-06-01,1577
50,2017-07-01,Affinity at Serangoon,835,2018-06-01,1494
51,2017-07-01,The Verandah Residences,964,2018-04-01,1794
52,2017-07-01,Park Colonial,1110,2018-07-01,1760
53,2017-05-01,Stirling Residences,1051,2018-07-01,1828
54,2017-05-01,The Tapestry,565,2018-03-01,1340
55,2017-02-01,Twin Vew,592,2018-05-01,1401
56,2017-01-01,Amber 45,1063,2018-05-01,2294
57,2017-01-01,Bukit 828,663,2018-09-01,1601
58,2016-12-01,Margaret Ville,998,2018-06-01,1836
59,2016-12-01,Jui Residences,2197,2018-09-01,1758
60,2016-11-01,3 Cuscaden,1826,2018-11-01,3626
61,2016-11-01,120 Grange,1841,2018-06-01,3078
62,2016-11-01,8 Hullet,2073,2018-03-01,3445
63,2016-10-01,The Tre Ver,797,2018-08-01,1598
64,2016-09-01,Parc Botannia,517,2017-11-01,1303
65,2016-09-01,Rivercove Residences,355,2018-04-01,980
66,2016-09-01,Rivercove Residences,355,2018-04-01,980
67,2016-08-01,HARBOUR VIEW GARDENS,1082,2018-04-01,1748
68,2016-07-01,Martin Modern,1239,2017-07-01,2498
69,2016-04-01,Kandis Residence,481,2017-09-01,1265
70,2016-05-01,JadeScape,747,2018-09-01,1704
71,2016-02-01,Grandeur Park Residences,761,2017-03-01,1403
72,2016-02-01,Hundred Palms Residences,331,2017-07-01,849
73,2016-01-01,Seaside Residences,858,2017-04-01,1764
74,2015-12-01,The Clement Canopy,615,2017-02-01,1375
75,2015-11-01,Artra,851,2017-04-01,1774
76,2015-11-01,Forest Woods,710,2017-01-01,1457
77,2015-08-01,Parc Riviera,551,2017-01-01,1228
78,2015-08-01,Inz Residence,295,2017-03-01,796
79,2015-06-01,Queens Peak,871,2017-01-01,1687
80,2015-06-01,Gem Residences,755,2017-02-01,1534
81,2015-05-01,The Alps Residences,483,2017-01-01,1083
82,2015-03-01,Sturdee Residences,787,2017-02-01,1534
83,2015-03-01,Lake Grande,630,2017-01-01,1317
84,2015-02-01,Northwave,278,2017-01-01,795
85,2015-02-01,TREASURE CREST,280,2017-01-01,851
86,2014-11-01,STARS OF KOVAN,849,2017-01-01,1456
87,2014-10-01,THOMSON IMPRESSIONS,731,2017-01-01,1438
88,2014-10-01,THE VISIONAIRE,353,2017-01-01,820
89,2014-08-01,High Park Residences,448,2017-02-01,996
90,2014-08-01,High Park Residences,438,2017-02-01,996
91,2014-07-01,Parc Life,320,2017-01-01,807
92,2014-05-01,Signature at Yishun,334,2017-01-01,779
93,2014-05-01,The Criterion,330,2017-01-01,780
94,2014-04-01,Sims Urban Oasis,688,2017-01-01,1417
95,2014-04-01,Principal Garden,821,2017-01-01,1703
96,2014-03-01,Symphony Suites,450,2017-01-01,1059
97,2014-03-01,Sol Acres,339,2017-01-01,796
98,2014-03-01,Sol Acres,375,2017-01-01,796
99,2014-02-01,The Vales,367,2017-01-01,834
100,2014-01-01,The Brownstone,350,2017-02-01,826
101,2014-01-01,TRE Residences,776,2017-03-01,1428
102,2014-01-01,Botanique At Bartley,648,2017-02-01,1304
103,2014-01-01,Westwood Residences,382,2017-01-01,796
104,2013-12-01,Kingsford Waterbay,522,2017-01-01,1272
105,2013-12-01,Kingsford Waterbay,522,2017-01-01,1272
106,2013-09-01,Sophia Hills,1156,2017-01-01,2015
107,2013-08-01,Lake Life,418,2017-02-01,806
108,2013-08-01,The Terrace,355,2017-01-01,784
109,2013-08-01,The Amore,356,2017-02-01,769
110,2013-07-01,The Santorini,562,2017-01-01,1030
111,2013-06-01,Victoria Park Villas,908,2017-03-01,1778
112,2013-06-01,Rivertrees Residences,533,2017-02-01,1062
113,2013-05-01,Bellewaters,331,2017-04-01,812
114,2013-05-01,Bellewoods,341,2017-01-01,742
115,2013-04-01,Highline Residences,1163,2017-01-01,1885
116,2013-04-01,Riverbank @ Fernvale,489,2017-01-01,1006
117,2013-02-01,Commonwealth Towers,883,2017-01-01,1696
118,2013-01-01,Lakeville,651,2017-01-01,1189
119,2013-01-01,The Panorama,790,2017-01-01,1311
